regime,model,controls_included,feature,is_control,importance_mean,importance_std,cross_validated_r2,out_of_fold_spearman,trustworthy,molecules
in_domain,GCN,False,TPSA,False,0.010611,0.018974,0.019290,0.267509,True,470
in_domain,GCN,False,NumRotatableBonds,False,-0.019712,0.027687,0.019290,0.267509,True,470
in_domain,GCN,False,AromaticAtomFraction,False,0.020437,0.022463,0.019290,0.267509,True,470
in_domain,GCN,False,HeavyAtomCount,False,0.016043,0.028241,0.019290,0.267509,True,470
in_domain,GCN,False,NumRings,False,0.008733,0.012999,0.019290,0.267509,True,470
in_domain,GCN,False,NumAromaticRings,False,0.002994,0.010507,0.019290,0.267509,True,470
in_domain,GCN,False,NumAliphaticRings,False,0.000907,0.024829,0.019290,0.267509,True,470
in_domain,GCN,False,NumHeteroatoms,False,-0.001186,0.020335,0.019290,0.267509,True,470
in_domain,GCN,False,FractionCSP3,False,-0.002775,0.017746,0.019290,0.267509,True,470
in_domain,GCN,False,NumHDonors,False,-0.002194,0.011593,0.019290,0.267509,True,470
in_domain,GCN,False,NumHAcceptors,False,-0.018275,0.017310,0.019290,0.267509,True,470
in_domain,GIN,False,MolWt,False,0.335113,0.207626,0.079361,0.275408,True,470
in_domain,GIN,False,MolLogP,False,0.041801,0.039863,0.079361,0.275408,True,470
in_domain,GIN,False,TPSA,False,0.074290,0.061929,0.079361,0.275408,True,470
in_domain,GIN,False,NumRotatableBonds,False,0.006592,0.015745,0.079361,0.275408,True,470
in_domain,GIN,False,AromaticAtomFraction,False,0.094305,0.028113,0.079361,0.275408,True,470
in_domain,GIN,False,HeavyAtomCount,False,0.029279,0.026656,0.079361,0.275408,True,470
in_domain,GIN,False,NumRings,False,-0.009872,0.018267,0.079361,0.275408,True,470
in_domain,GIN,False,NumAromaticRings,False,-0.000321,0.010585,0.079361,0.275408,True,470
in_domain,GIN,False,NumAliphaticRings,False,0.005930,0.007699,0.079361,0.275408,True,470
in_domain,GIN,False,NumHeteroatoms,False,0.103388,0.196142,0.079361,0.275408,True,470
in_domain,GIN,False,FractionCSP3,False,0.062840,0.029102,0.079361,0.275408,True,470
in_domain,GIN,False,NumHDonors,False,0.015809,0.006882,0.079361,0.275408,True,470
in_domain,GIN,False,NumHAcceptors,False,0.031030,0.043232,0.079361,0.275408,True,470
