regime,model,property,molecules,spearman,ci_low,ci_high,excludes_zero,baseline_spearman,partial_spearman,trained_on
out_of_scaffold,Dummy (mean),NumRings,413,0.140306,0.046999,0.227467,True,0.140306,-0.029133,False
out_of_scaffold,Dummy (mean),NumAromaticRings,413,0.199525,0.106175,0.291591,True,0.199525,-0.055280,False
out_of_scaffold,Dummy (mean),NumAliphaticRings,413,-0.130861,-0.221318,-0.036718,True,-0.130861,0.044167,False
out_of_scaffold,Dummy (mean),NumHeteroatoms,413,-0.027843,-0.120195,0.066736,False,-0.027843,0.009015,False
out_of_scaffold,Dummy (mean),FractionCSP3,413,-0.172314,-0.268454,-0.074968,True,-0.172314,0.041763,False
out_of_scaffold,Dummy (mean),NumHDonors,413,-0.375379,-0.455757,-0.286123,True,-0.375379,-0.010415,False
out_of_scaffold,Dummy (mean),NumHAcceptors,413,-0.339499,-0.427119,-0.247843,True,-0.339499,-0.030315,False
out_of_scaffold,Linear,MolWt,413,-0.207936,-0.296077,-0.116300,True,0.291389,-0.271706,True
out_of_scaffold,Linear,MolLogP,413,-0.147841,-0.249967,-0.046525,True,0.601696,-0.326605,True
out_of_scaffold,Linear,TPSA,413,-0.013009,-0.116127,0.089366,False,-0.378165,0.060270,True
out_of_scaffold,Linear,NumRotatableBonds,413,-0.171902,-0.264938,-0.073495,True,-0.035081,-0.171007,True
out_of_scaffold,Linear,AromaticAtomFraction,413,-0.012847,-0.113803,0.087234,False,0.139215,-0.038476,True
out_of_scaffold,Linear,HeavyAtomCount,413,-0.157728,-0.255388,-0.062467,True,0.188022,-0.194109,False
out_of_scaffold,Linear,NumRings,413,-0.049716,-0.155381,0.050755,False,0.140306,-0.076243,False
out_of_scaffold,Linear,NumAromaticRings,413,-0.048597,-0.156180,0.053186,False,0.199525,-0.085389,False
out_of_scaffold,Linear,NumAliphaticRings,413,0.044192,-0.054752,0.141588,False,-0.130861,0.067038,False
out_of_scaffold,Linear,NumHeteroatoms,413,-0.126004,-0.225422,-0.023654,True,-0.027843,-0.128486,False
out_of_scaffold,Linear,FractionCSP3,413,0.097955,-0.003971,0.200594,False,-0.172314,0.132452,False
out_of_scaffold,Linear,NumHDonors,413,0.039972,-0.057145,0.145035,False,-0.375379,0.113581,False
out_of_scaffold,Linear,NumHAcceptors,413,-0.044773,-0.146863,0.055687,False,-0.339499,0.016790,False
out_of_scaffold,MLP,MolWt,413,0.046279,-0.057701,0.151499,False,0.291389,-0.014543,True
out_of_scaffold,MLP,MolLogP,413,-0.051938,-0.147897,0.044930,False,0.601696,-0.137532,True
out_of_scaffold,MLP,TPSA,413,0.086725,-0.011818,0.185765,False,-0.378165,0.109755,True
out_of_scaffold,MLP,NumRotatableBonds,413,0.032061,-0.065877,0.129542,False,-0.035081,0.001248,True
out_of_scaffold,MLP,AromaticAtomFraction,413,-0.066399,-0.163185,0.032682,False,0.139215,-0.066402,True
out_of_scaffold,MLP,HeavyAtomCount,413,0.026959,-0.067928,0.129140,False,0.188022,-0.011544,False
out_of_scaffold,MLP,NumRings,413,-0.024202,-0.126858,0.079676,False,0.140306,-0.026603,False
out_of_scaffold,MLP,NumAromaticRings,413,-0.028421,-0.128836,0.074548,False,0.199525,-0.043658,False
out_of_scaffold,MLP,NumAliphaticRings,413,0.026430,-0.070966,0.122348,False,-0.130861,0.044724,False
out_of_scaffold,MLP,NumHeteroatoms,413,0.141761,0.040822,0.242046,True,-0.027843,0.099642,False
out_of_scaffold,MLP,FractionCSP3,413,0.063830,-0.035727,0.159048,False,-0.172314,0.070868,False
out_of_scaffold,MLP,NumHDonors,413,0.096163,0.000266,0.189986,True,-0.375379,0.141646,False
out_of_scaffold,MLP,NumHAcceptors,413,0.095972,-0.003874,0.193194,False,-0.339499,0.106245,False
out_of_scaffold,GCN,MolWt,413,0.097406,-0.005798,0.198812,False,0.291389,-0.021382,True
